Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Game 4 - Score team A,Game 4 - Score team B,Game 5 - Score team A,Game 5 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team A - Player 4,Team B - Player 1,Team B - Player 2,Team B - Player 3,Team B - Player 4
Pool Play,Open Pro 5.0+,Group A,3,Single game,Extra,RKO,Extra,21,14,,,,,,,,,Jé Gagnon,Emerson Dean,,,Nathan Robertt,Bryant Karratti,,
Pool Play,Open Pro 5.0+,Group B,3,Single game,Numb,Pirga,Numb,21,14,,,,,,,,,Kieran Rose,Paq Clifford,,,Jack coolbaugh,Caleb Cummings,,
Pool Play,Open Pro 5.0+,Group B,3,Single game,Glizzy Gladiators,Shaytar/Wideman,Shaytar/Wideman,19,21,,,,,,,,,Jacob Summers,Polk Denmark,,,Nick Wideman,Justin Shaytar,,
Pool Play,Open Pro 5.0+,Group C,3,Single game,Bad Combo,TRP Spotless,Bad Combo,21,10,,,,,,,,,Rahul Murthy,Will Picone,,,Ryan Gross,Joe Bondi,,
Pool Play,Open Pro 5.0+,Group C,3,Single game,Aftermath,ORTHODOX,ORTHODOX,18,21,,,,,,,,,Kyle Fowler,Thomas Hoffman,,,Jack Bushart,Clifford Amadeo LeVeque,,
Pool Play,Open Pro 5.0+,Group D,3,Single game,Sparky Sparky Boom Men,Cold Sweep,Sparky Sparky Boom Men,21,12,,,,,,,,,Sunny Gu,Connor Nelson,,,Vincent Mathieu,Maxime Prince,,
Pool Play,Open Pro 5.0+,Group D,3,Single game,Swiss Cheese Defense,Bot House,Swiss Cheese Defense,23,21,,,,,,,,,Tyler Fernandez,Lucas Pruett,,,West Peterson,Owen Lippman,,
Pool Play,Open Pro 5.0+,Group A,4,Single game,Insystem,RKO,Insystem,21,18,,,,,,,,,Etienne Cote,Blake Bosak,,,Nathan Robertt,Bryant Karratti,,
Pool Play,Open Pro 5.0+,Group A,4,Single game,Nimrod,Extra,Extra,13,21,,,,,,,,,Christian Bennett,Gabriel Finocchi,,,Jé Gagnon,Emerson Dean,,
Pool Play,Open Pro 5.0+,Group B,4,Single game,Numb,Shaytar/Wideman,Numb,22,20,,,,,,,,,Kieran Rose,Paq Clifford,,,Nick Wideman,Justin Shaytar,,
Pool Play,Open Pro 5.0+,Group B,4,Single game,Pirga,Glizzy Gladiators,Glizzy Gladiators,17,21,,,,,,,,,Jack coolbaugh,Caleb Cummings,,,Jacob Summers,Polk Denmark,,
Pool Play,Open Pro 5.0+,Group C,4,Single game,Bad Combo,ORTHODOX,Bad Combo,21,9,,,,,,,,,Rahul Murthy,Will Picone,,,Jack Bushart,Clifford Amadeo LeVeque,,
Pool Play,Open Pro 5.0+,Group C,4,Single game,TRP Spotless,Aftermath,Aftermath,17,21,,,,,,,,,Ryan Gross,Joe Bondi,,,Kyle Fowler,Thomas Hoffman,,
Pool Play,Open Pro 5.0+,Group D,4,Single game,Sparky Sparky Boom Men,Bot House,Bot House,18,21,,,,,,,,,Sunny Gu,Connor Nelson,,,West Peterson,Owen Lippman,,
Pool Play,Open Pro 5.0+,Group D,4,Single game,Cold Sweep,Swiss Cheese Defense,Cold Sweep,23,21,,,,,,,,,Vincent Mathieu,Maxime Prince,,,Tyler Fernandez,Lucas Pruett,,
Pool Play,Open Pro 5.0+,Group A,5,Single game,Insystem,Extra,Insystem,21,14,,,,,,,,,Etienne Cote,Blake Bosak,,,Jé Gagnon,Emerson Dean,,
Pool Play,Open Pro 5.0+,Group A,5,Single game,Nimrod,RKO,Nimrod,21,13,,,,,,,,,Christian Bennett,Gabriel Finocchi,,,Nathan Robertt,Bryant Karratti,,
Pool Play,Open Pro 5.0+,Group B,5,Single game,Numb,Glizzy Gladiators,Glizzy Gladiators,19,21,,,,,,,,,Kieran Rose,Paq Clifford,,,Jacob Summers,Polk Denmark,,
Pool Play,Open Pro 5.0+,Group B,5,Single game,Pirga,Shaytar/Wideman,Shaytar/Wideman,20,22,,,,,,,,,Jack coolbaugh,Caleb Cummings,,,Nick Wideman,Justin Shaytar,,
Pool Play,Open Pro 5.0+,Group C,5,Single game,Bad Combo,Aftermath,Bad Combo,24,22,,,,,,,,,Rahul Murthy,Will Picone,,,Kyle Fowler,Thomas Hoffman,,
Pool Play,Open Pro 5.0+,Group C,5,Single game,TRP Spotless,ORTHODOX,TRP Spotless,21,15,,,,,,,,,Ryan Gross,Joe Bondi,,,Jack Bushart,Clifford Amadeo LeVeque,,
Pool Play,Open Pro 5.0+,Group D,5,Single game,Sparky Sparky Boom Men,Swiss Cheese Defense,Sparky Sparky Boom Men,21,14,,,,,,,,,Sunny Gu,Connor Nelson,,,Tyler Fernandez,Lucas Pruett,,
Pool Play,Open Pro 5.0+,Group D,5,Single game,Cold Sweep,Bot House,Cold Sweep,21,11,,,,,,,,,Vincent Mathieu,Maxime Prince,,,West Peterson,Owen Lippman,,
Pool Play,Open Pro 5.0+,Group A,6,Single game,Insystem,Nimrod,Nimrod,24,25,,,,,,,,,Etienne Cote,Blake Bosak,,,Christian Bennett,Gabriel Finocchi,,
Pool Play,Open Pro 5.0+,Group A,6,Single game,Extra,RKO,Extra,21,12,,,,,,,,,Jé Gagnon,Emerson Dean,,,Nathan Robertt,Bryant Karratti,,
Pool Play,Open Pro 5.0+,Group B,6,Single game,Numb,Pirga,Pirga,19,21,,,,,,,,,Kieran Rose,Paq Clifford,,,Jack coolbaugh,Caleb Cummings,,
Pool Play,Open Pro 5.0+,Group B,6,Single game,Glizzy Gladiators,Shaytar/Wideman,Shaytar/Wideman,21,23,,,,,,,,,Jacob Summers,Polk Denmark,,,Nick Wideman,Justin Shaytar,,
Pool Play,Open Pro 5.0+,Group C,6,Single game,Bad Combo,TRP Spotless,Bad Combo,21,10,,,,,,,,,Rahul Murthy,Will Picone,,,Ryan Gross,Joe Bondi,,
Pool Play,Open Pro 5.0+,Group C,6,Single game,Aftermath,ORTHODOX,ORTHODOX,17,21,,,,,,,,,Kyle Fowler,Thomas Hoffman,,,Jack Bushart,Clifford Amadeo LeVeque,,
Pool Play,Open Pro 5.0+,Group D,6,Single game,Sparky Sparky Boom Men,Cold Sweep,Cold Sweep,21,23,,,,,,,,,Sunny Gu,Connor Nelson,,,Vincent Mathieu,Maxime Prince,,
Pool Play,Open Pro 5.0+,Group D,6,Single game,Swiss Cheese Defense,Bot House,Bot House,22,24,,,,,,,,,Tyler Fernandez,Lucas Pruett,,,West Peterson,Owen Lippman,,
Bracket Play,Open Pro 5.0+,Bracket A,Round of 16,Best of 3,Bad Combo,RKO,Bad Combo,21,16,21,13,,,,,,,Rahul Murthy,Will Picone,,,Nathan Robertt,Bryant Karratti,,
Bracket Play,Open Pro 5.0+,Bracket A,Round of 16,Best of 3,Numb,Aftermath,Numb,25,23,19,21,21,18,,,,,Kieran Rose,Paq Clifford,,,Kyle Fowler,Thomas Hoffman,,
Bracket Play,Open Pro 5.0+,Bracket A,Round of 16,Best of 3,Extra,ORTHODOX,Extra,21,15,21,18,,,,,,,Jé Gagnon,Emerson Dean,,,Jack Bushart,Clifford Amadeo LeVeque,,
Bracket Play,Open Pro 5.0+,Bracket A,Round of 16,Best of 3,Insystem,Swiss Cheese Defense,Insystem,21,15,21,17,,,,,,,Etienne Cote,Blake Bosak,,,Tyler Fernandez,Lucas Pruett,,
Bracket Play,Open Pro 5.0+,Bracket A,Round of 16,Best of 3,Nimrod,Glizzy Gladiators,Nimrod,21,18,21,14,,,,,,,Christian Bennett,Gabriel Finocchi,,,Jacob Summers,Polk Denmark,,
Bracket Play,Open Pro 5.0+,Bracket A,Round of 16,Best of 3,Cold Sweep,Sparky Sparky Boom Men,Cold Sweep,16,21,21,17,21,15,,,,,Vincent Mathieu,Maxime Prince,,,Sunny Gu,Connor Nelson,,
Bracket Play,Open Pro 5.0+,Bracket A,Round of 16,Best of 3,Bot House,TRP Spotless,TRP Spotless,21,13,15,21,15,21,,,,,West Peterson,Owen Lippman,,,Ryan Gross,Joe Bondi,,
Bracket Play,Open Pro 5.0+,Bracket A,Round of 16,Best of 3,Shaytar/Wideman,Pirga,Pirga,18,21,17,21,,,,,,,Nick Wideman,Justin Shaytar,,,Jack coolbaugh,Caleb Cummings,,
Bracket Play,Open Pro 5.0+,Bracket A,Quarter-final,Best of 3,Bad Combo,Pirga,Bad Combo,21,14,21,12,,,,,,,Rahul Murthy,Will Picone,,,Jack coolbaugh,Caleb Cummings,,
Bracket Play,Open Pro 5.0+,Bracket A,Quarter-final,Best of 3,Numb,TRP Spotless,Numb,21,19,17,21,21,18,,,,,Kieran Rose,Paq Clifford,,,Ryan Gross,Joe Bondi,,
Bracket Play,Open Pro 5.0+,Bracket A,Quarter-final,Best of 3,Extra,Cold Sweep,Cold Sweep,19,21,21,13,22,24,,,,,Jé Gagnon,Emerson Dean,,,Vincent Mathieu,Maxime Prince,,
Bracket Play,Open Pro 5.0+,Bracket A,Quarter-final,Best of 3,Insystem,Nimrod,Insystem,21,17,23,21,,,,,,,Etienne Cote,Blake Bosak,,,Christian Bennett,Gabriel Finocchi,,
Bracket Play,Open Pro 5.0+,Bracket A,P9: Quarter-final,Single game,Shaytar/Wideman,RKO,Shaytar/Wideman,25,23,,,,,,,,,Nick Wideman,Justin Shaytar,,,Nathan Robertt,Bryant Karratti,,
Bracket Play,Open Pro 5.0+,Bracket A,P9: Quarter-final,Single game,Bot House,Aftermath,Aftermath,18,21,,,,,,,,,West Peterson,Owen Lippman,,,Kyle Fowler,Thomas Hoffman,,
Bracket Play,Open Pro 5.0+,Bracket A,P9: Quarter-final,Single game,Sparky Sparky Boom Men,ORTHODOX,Sparky Sparky Boom Men,2,0,,,,,,,,,Sunny Gu,Connor Nelson,,,Jack Bushart,Clifford Amadeo LeVeque,,
Bracket Play,Open Pro 5.0+,Bracket A,P9: Quarter-final,Single game,Glizzy Gladiators,Swiss Cheese Defense,Glizzy Gladiators,21,18,,,,,,,,,Jacob Summers,Polk Denmark,,,Tyler Fernandez,Lucas Pruett,,
Bracket Play,Open Pro 5.0+,Bracket A,Semi-final,Best of 3,Bad Combo,Insystem,Insystem,18,21,24,22,18,21,,,,,Rahul Murthy,Will Picone,,,Etienne Cote,Blake Bosak,,
Bracket Play,Open Pro 5.0+,Bracket A,Semi-final,Best of 3,Numb,Cold Sweep,Numb,19,21,21,18,21,19,,,,,Kieran Rose,Paq Clifford,,,Vincent Mathieu,Maxime Prince,,
Bracket Play,Open Pro 5.0+,Bracket A,P5: Semi-final,Single game,Nimrod,Pirga,Pirga,22,24,,,,,,,,,Christian Bennett,Gabriel Finocchi,,,Jack coolbaugh,Caleb Cummings,,
Bracket Play,Open Pro 5.0+,Bracket A,P5: Semi-final,Single game,Extra,TRP Spotless,Extra,0,-1,,,,,,,,,Jé Gagnon,Emerson Dean,,,Ryan Gross,Joe Bondi,,
Bracket Play,Open Pro 5.0+,Bracket A,Final,Best of 3,Insystem,Numb,Numb,16,21,21,7,18,21,,,,,Etienne Cote,Blake Bosak,,,Kieran Rose,Paq Clifford,,
Bracket Play,Open Pro 5.0+,Bracket A,P3: Final,Best of 3,Cold Sweep,Bad Combo,Bad Combo,19,21,15,21,,,,,,,Vincent Mathieu,Maxime Prince,,,Rahul Murthy,Will Picone,,
Bracket Play,Open Pro 5.0+,Bracket A,P5: Final,Single game,Pirga,Extra,Extra,17,21,,,,,,,,,Jack coolbaugh,Caleb Cummings,,,Jé Gagnon,Emerson Dean,,
Pool Play,Women's Advanced 4.0+,Group A,1,Single game,Pierson/Phan,Dino Riot 🦖,Pierson/Phan,21,18,,,,,,,,,Katheleen Phan,Katie Pierson,,,Laurence Vallée,Rafaela Bastos,,
Pool Play,Women's Advanced 4.0+,Group A,1,Single game,Coastin’,Almost a Jazz Band,Coastin’,21,17,,,,,,,,,Joelle Nguyen,Maddy Morehouse,,,Sarah Allen,Shachi Patel,,
Pool Play,Women's Advanced 4.0+,Group B,1,Single game,YU-BAE,Sorenson/Norris,YU-BAE,21,14,,,,,,,,,Dianne Fonseca,sophia yu,,,Abby Norris,Hanna Sorensen,,
Pool Play,Women's Advanced 4.0+,Group B,1,Single game,No Idea,One hit wonders,One hit wonders,6,21,,,,,,,,,nina miller,Kate B,,,Holly Yu,Amanda Jamieson,,
Pool Play,Women's Advanced 4.0+,Group C,1,Single game,besties💂🏼⛑️,We look like this -> 🥰,besties💂🏼⛑️,21,5,,,,,,,,,Stef Ding,Tiff Ding,,,Emma Brune,Reese Gallagher,,
Pool Play,Women's Advanced 4.0+,Group C,1,Single game,Give me my coffee back,Women in Stem,Women in Stem,14,21,,,,,,,,,Courtney Coppage,Audrey Summers,,,Bel Belvedere,lauren viado,,
Pool Play,Women's Advanced 4.0+,Group D,1,Single game,Sunnies😎,Vogt/Forand,Sunnies😎,24,22,,,,,,,,,Jhanaj Quispe,Shonda Couroux,,,Kellie Forand,Mackenzie Vogt,,
Pool Play,Women's Advanced 4.0+,Group D,1,Single game,Carry Set,Marshmallow 🐾 🐧,Marshmallow 🐾 🐧,17,21,,,,,,,,,Malia Wanderer,Abigale Lamontagne,,,Genevieve Tardy,Kim Aspirot,,
Pool Play,Women's Advanced 4.0+,Group A,2,Single game,Pierson/Phan,Almost a Jazz Band,Almost a Jazz Band,18,21,,,,,,,,,Katheleen Phan,Katie Pierson,,,Sarah Allen,Shachi Patel,,
