Ä,Division,Group/Bracket,Round,Match format,Squad,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,Division 1 Open,PP A,1,Single game,NEU D1 vs UGA Black,NEU D1 Open C,UGA Black Open C,UGA Black Open C,19,21,,,,,Aidan Sprouls,Tim Matten,Jeremy Lee,Luke Nettles
Pool Play,Division 1 Open,PP A,1,Single game,NEU D1 vs UGA Black,NEU D1 Coed,UGA Black Coed,NEU D1 Coed,21,9,,,,,Abigale Lamontagne,Matt Wallach,Braedan Thomas,Kirra Diaz
Pool Play,Division 1 Women's,PP A,1,Single game,NEU D1 vs UGA Black,NEU D1 Women's,UGA Black Women's,NEU D1 Women's,21,18,,,,,Lia Maag,Malia Wanderer,Mckenna Mckean,Savannah Obert
Pool Play,Division 1 Open,PP B,1,Single game,Cal Poly D1 vs Virginia Tech D1,Cal Poly D1 Open A,Virginia Tech D1 Open A,Virginia Tech D1 Open A,13,21,,,,,Eli Wortman,Jake Woolley,Jaxon Gonzalez,Jon Esposo
Pool Play,Division 1 Open,PP B,1,Single game,Cal Poly D1 vs Virginia Tech D1,Cal Poly D1 Open B,Virginia Tech D1 Open B,Cal Poly D1 Open B,21,12,,,,,Calvin Chang,Reece Greer,Dylan DiDona,Porter DuHadway
Pool Play,Division 1 Open,PP B,1,Single game,Cal Poly D1 vs Virginia Tech D1,Cal Poly D1 Open C,Virginia Tech D1 Open C,Cal Poly D1 Open C,21,11,,,,,Aiden edwards,Gabriel Rouse,Ben Epps,Owen Stuckman
Pool Play,Division 1 Open,PP B,1,Single game,Cal Poly D1 vs Virginia Tech D1,Cal Poly D1 Coed,Virginia Tech D1 Coed,Cal Poly D1 Coed,21,17,,,,,Alex Veron,Theo Maiorca,Drew Keely,Katheleen Phan
Pool Play,Division 1 Women's,PP B,1,Single game,Cal Poly D1 vs Virginia Tech D1,Cal Poly D1 Women's,Virginia Tech D1 Women's,Virginia Tech D1 Women's,9,21,,,,,Kaiya endo,Lauren Eckert,Ashley Hunt,Elly Kuzma
Pool Play,Division 1 Open,PP B,1,Single game,Penn State D1 Blue vs Purdue D1,Penn State D1 Blue Open A,Purdue D1 Open A,Penn State D1 Blue Open A,21,6,,,,,Jake Hurst,Matthew Mesaros,Henry Cheung,Will
Pool Play,Division 1 Open,PP B,1,Single game,Penn State D1 Blue vs Purdue D1,Penn State D1 Blue Open B,Purdue D1 Open B,Penn State D1 Blue Open B,21,9,,,,,JT Mankowich,Michael Moniz,Kishore,Prathik Iyengar
Pool Play,Division 1 Open,PP B,1,Single game,Penn State D1 Blue vs Purdue D1,Penn State D1 Blue Open C,Purdue D1 Open C,Penn State D1 Blue Open C,21,7,,,,,Diego Lopez,Kade Kulpinski,Thomas Saia,Zach Miles
Pool Play,Division 1 Open,PP B,1,Single game,Penn State D1 Blue vs Purdue D1,Penn State D1 Blue Coed,Purdue D1 Coed,Penn State D1 Blue Coed,21,8,,,,,Evangelia Hahalis,Zach Young,Josh Eliott,Megan Cereno
Pool Play,Division 1 Women's,PP B,1,Single game,Penn State D1 Blue vs Purdue D1,Penn State D1 Blue Women's,Purdue D1 Women's,Penn State D1 Blue Women's,21,8,,,,,Adrianna Vargas,Alaina Althouse,Anna Grube,Han Burgess
Pool Play,Division 1 Open,PP B,1,Single game,Penn State D1 Blue vs Virginia Tech D1,Penn State D1 Blue Open A,Virginia Tech D1 Open A,Virginia Tech D1 Open A,19,21,,,,,Jake Hurst,Matthew Mesaros,Jaxon Gonzalez,Jon Esposo
Pool Play,Division 1 Open,PP B,1,Single game,Penn State D1 Blue vs Virginia Tech D1,Penn State D1 Blue Open B,Virginia Tech D1 Open B,Penn State D1 Blue Open B,21,7,,,,,JT Mankowich,Michael Moniz,Dylan DiDona,Porter DuHadway
Pool Play,Division 1 Open,PP B,1,Single game,Penn State D1 Blue vs Virginia Tech D1,Penn State D1 Blue Open C,Virginia Tech D1 Open C,Penn State D1 Blue Open C,21,16,,,,,Diego Lopez,Kade Kulpinski,Ben Epps,Owen Stuckman
