Ä,Division,Group/Bracket,Round,Match format,Squad,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team B - Player 1,Team B - Player 2
Pool Play,Division 1 Open,Pool D,1,Single game,UConn D1 vs UB D1,UConn D1 Open A,UB D1 Open A,UConn D1 Open A,21,19,,,,,Matthew Tiongko,Sam Panek,Evan Leatherbarrow,George Reagan
Pool Play,Division 1 Open,Pool D,1,Single game,UConn D1 vs UB D1,UConn D1 Open B,UB D1 Open B,UConn D1 Open B,21,16,,,,,Scotty McCabe,Vince Hackl,Alden Nash,Camillo Cruz
Pool Play,Division 1 Open,Pool D,1,Single game,UConn D1 vs UB D1,UConn D1 Open C,UB D1 Open C,UConn D1 Open C,21,12,,,,,Jacob Lamontagne,Sreesai Katiki,Izak Krajeski,Mason Hansen
Pool Play,Division 1 Open,Pool D,1,Single game,UConn D1 vs UB D1,UConn D1 Coed,UB D1 Coed,UConn D1 Coed,21,4,,,,,Noah Malewicki,Sabine Lucas,Coralys Desarden,Jamie Sullivan
Pool Play,Division 1 Women's,Pool D,1,Single game,UConn D1 vs UB D1,UConn D1 Women's,UB D1 Women's,UConn D1 Women's,21,6,,,,,Aisling,Samantha Wilkins,Autumn Ragonese,Caroline Dexter
Pool Play,Division 1 Open,Pool D,1,Single game,Liberty D1 vs UNC D1,Liberty D1 Open A,UNC D1 Open A,Liberty D1 Open A,21,5,,,,,Ethan Davis,Jacob Summers,Bryce von Haefen,Thayer Hicks
Pool Play,Division 1 Open,Pool D,1,Single game,Liberty D1 vs UNC D1,Liberty D1 Open B,UNC D1 Open B,Liberty D1 Open B,21,8,,,,,Josh Puffenberger,Tim G.,Evan Eberle,Mason Dancausse
Pool Play,Division 1 Open,Pool D,1,Single game,Liberty D1 vs UNC D1,Liberty D1 Open C,UNC D1 Open C,Liberty D1 Open C,21,17,,,,,Daniel Porter,Isaac Haynes,Hugh Telke,Josh Lairamore
Pool Play,Division 1 Open,Pool D,1,Single game,Liberty D1 vs UNC D1,Liberty D1 Coed,UNC D1 Coed,UNC D1 Coed,17,21,,,,,JP Hoheisel,Seth Stokarski,Cam Obrien,Sophia Manning
Pool Play,Division 1 Women's,Pool D,1,Single game,Liberty D1 vs UNC D1,Liberty D1 Women's,UNC D1 Women's,Liberty D1 Women's,21,10,,,,,Becca Tussi,Jo Malone,Grace Cuadill,Vanessa Convers
Pool Play,Division 1 Open,Pool D,1,Single game,Liberty D1 vs Clemson,Liberty D1 Open A,Clemson Open A,Liberty D1 Open A,21,14,,,,,Ethan Davis,Jacob Summers,Eric Baldwin,Shrey Parihk
Pool Play,Division 1 Open,Pool D,1,Single game,Liberty D1 vs Clemson,Liberty D1 Open B,Clemson Open B,Clemson Open B,14,21,,,,,Josh Puffenberger,Tim G.,Danny Titherington,Kade Janikula
Pool Play,Division 1 Open,Pool D,1,Single game,Liberty D1 vs Clemson,Liberty D1 Open C,Clemson Open C,Liberty D1 Open C,21,11,,,,,Daniel Porter,Isaac Haynes,Austin Smith,Sullivan McGillis
Pool Play,Division 1 Open,Pool D,1,Single game,Liberty D1 vs Clemson,Liberty D1 Coed,Clemson Coed,Clemson Coed,6,21,,,,,JP Hoheisel,Seth Stokarski,Anthony Schenk,Maddie Huffstetler
Pool Play,Division 1 Women's,Pool D,1,Single game,Liberty D1 vs Clemson,Liberty D1 Women's,Clemson Women's,Clemson Women's,18,21,,,,,Becca Tussi,Jo Malone,Rachael Notch,Summer Kowalski
Pool Play,Division 1 Open,Pool D,1,Single game,Liberty D1 vs UB D1,Liberty D1 Open A,UB D1 Open A,Liberty D1 Open A,21,14,,,,,Ethan Davis,Jacob Summers,Evan Leatherbarrow,George Reagan
Pool Play,Division 1 Open,Pool D,1,Single game,Liberty D1 vs UB D1,Liberty D1 Open B,UB D1 Open B,Liberty D1 Open B,21,11,,,,,Josh Puffenberger,Tim G.,Alden Nash,Camillo Cruz
Pool Play,Division 1 Open,Pool D,1,Single game,Liberty D1 vs UB D1,Liberty D1 Open C,UB D1 Open C,Liberty D1 Open C,21,11,,,,,Daniel Porter,Isaac Haynes,Izak Krajeski,Mason Hansen
Pool Play,Division 1 Open,Pool D,1,Single game,Liberty D1 vs UB D1,Liberty D1 Coed,UB D1 Coed,Liberty D1 Coed,21,10,,,,,JP Hoheisel,Seth Stokarski,Coralys Desarden,Jamie Sullivan
Pool Play,Division 1 Women's,Pool D,1,Single game,Liberty D1 vs UB D1,Liberty D1 Women's,UB D1 Women's,Liberty D1 Women's,21,4,,,,,Becca Tussi,Jo Malone,Autumn Ragonese,Caroline Dexter
Pool Play,Division 1 Open,Pool D,1,Single game,UNC D1 vs Clemson,UNC D1 Open A,Clemson Open A,Clemson Open A,7,21,,,,,Bryce von Haefen,Thayer Hicks,Eric Baldwin,Shrey Parihk
Pool Play,Division 1 Open,Pool D,1,Single game,UNC D1 vs Clemson,UNC D1 Open B,Clemson Open B,Clemson Open B,8,21,,,,,Evan Eberle,Mason Dancausse,Danny Titherington,Kade Janikula
Pool Play,Division 1 Open,Pool D,1,Single game,UNC D1 vs Clemson,UNC D1 Open C,Clemson Open C,UNC D1 Open C,21,17,,,,,Hugh Telke,Josh Lairamore,Austin Smith,Sullivan McGillis
Pool Play,Division 1 Open,Pool D,1,Single game,UNC D1 vs Clemson,UNC D1 Coed,Clemson Coed,Clemson Coed,17,21,,,,,Cam Obrien,Sophia Manning,Anthony Schenk,Maddie Huffstetler
Pool Play,Division 1 Women's,Pool D,1,Single game,UNC D1 vs Clemson,UNC D1 Women's,Clemson Women's,Clemson Women's,16,21,,,,,Grace Cuadill,Vanessa Convers,Rachael Notch,Summer Kowalski
Pool Play,Division 1 Open,Pool D,1,Single game,Clemson vs UB D1,Clemson Open A,UB D1 Open A,UB D1 Open A,13,21,,,,,Eric Baldwin,Shrey Parihk,Evan Leatherbarrow,George Reagan
Pool Play,Division 1 Open,Pool D,1,Single game,Clemson vs UB D1,Clemson Open B,UB D1 Open B,Clemson Open B,21,12,,,,,Danny Titherington,Kade Janikula,Alden Nash,Camillo Cruz
Pool Play,Division 1 Open,Pool D,1,Single game,Clemson vs UB D1,Clemson Open C,UB D1 Open C,UB D1 Open C,7,21,,,,,Austin Smith,Sullivan McGillis,Izak Krajeski,Mason Hansen
Pool Play,Division 1 Open,Pool D,1,Single game,Clemson vs UB D1,Clemson Coed,UB D1 Coed,Clemson Coed,21,7,,,,,Anthony Schenk,Maddie Huffstetler,Coralys Desarden,Jamie Sullivan
Pool Play,Division 1 Women's,Pool D,1,Single game,Clemson vs UB D1,Clemson Women's,UB D1 Women's,Clemson Women's,21,4,,,,,Rachael Notch,Summer Kowalski,Autumn Ragonese,Caroline Dexter
Pool Play,Division 1 Open,Pool D,1,Single game,UNC D1 vs UB D1,UNC D1 Open A,UB D1 Open A,UB D1 Open A,7,21,,,,,Bryce von Haefen,Thayer Hicks,Evan Leatherbarrow,George Reagan
Pool Play,Division 1 Open,Pool D,1,Single game,UNC D1 vs UB D1,UNC D1 Open B,UB D1 Open B,UNC D1 Open B,21,19,,,,,Evan Eberle,Mason Dancausse,Alden Nash,Camillo Cruz
Pool Play,Division 1 Open,Pool D,1,Single game,UNC D1 vs UB D1,UNC D1 Open C,UB D1 Open C,UB D1 Open C,17,21,,,,,Hugh Telke,Josh Lairamore,Izak Krajeski,Mason Hansen
Pool Play,Division 1 Open,Pool D,1,Single game,UNC D1 vs UB D1,UNC D1 Coed,UB D1 Coed,UNC D1 Coed,21,1,,,,,Cam Obrien,Sophia Manning,Coralys Desarden,Jamie Sullivan
Pool Play,Division 1 Women's,Pool D,1,Single game,UNC D1 vs UB D1,UNC D1 Women's,UB D1 Women's,UNC D1 Women's,21,4,,,,,Grace Cuadill,Vanessa Convers,Autumn Ragonese,Caroline Dexter
Pool Play,Division 1 Open,Pool D,1,Single game,UConn D1 vs Liberty D1,UConn D1 Open A,Liberty D1 Open A,Liberty D1 Open A,9,21,,,,,Matthew Tiongko,Sam Panek,Ethan Davis,Jacob Summers
Pool Play,Division 1 Open,Pool D,1,Single game,UConn D1 vs Liberty D1,UConn D1 Open B,Liberty D1 Open B,UConn D1 Open B,21,14,,,,,Scotty McCabe,Vince Hackl,Josh Puffenberger,Tim G.
Pool Play,Division 1 Open,Pool D,1,Single game,UConn D1 vs Liberty D1,UConn D1 Open C,Liberty D1 Open C,Liberty D1 Open C,16,21,,,,,Jacob Lamontagne,Sreesai Katiki,Daniel Porter,Isaac Haynes
Pool Play,Division 1 Open,Pool D,1,Single game,UConn D1 vs Liberty D1,UConn D1 Coed,Liberty D1 Coed,UConn D1 Coed,21,16,,,,,Noah Malewicki,Sabine Lucas,JP Hoheisel,Seth Stokarski
Pool Play,Division 1 Women's,Pool D,1,Single game,UConn D1 vs Liberty D1,UConn D1 Women's,Liberty D1 Women's,UConn D1 Women's,21,18,,,,,Aisling,Samantha Wilkins,Becca Tussi,Jo Malone
Pool Play,Division 1 Open,Pool D,1,Single game,UConn D1 vs UNC D1,UConn D1 Open A,UNC D1 Open A,UConn D1 Open A,21,11,,,,,Matthew Tiongko,Sam Panek,Bryce von Haefen,Thayer Hicks
Pool Play,Division 1 Open,Pool D,1,Single game,UConn D1 vs UNC D1,UConn D1 Open B,UNC D1 Open B,UConn D1 Open B,21,9,,,,,Scotty McCabe,Vince Hackl,Evan Eberle,Mason Dancausse
Pool Play,Division 1 Open,Pool D,1,Single game,UConn D1 vs UNC D1,UConn D1 Open C,UNC D1 Open C,UConn D1 Open C,21,16,,,,,Jacob Lamontagne,Sreesai Katiki,Hugh Telke,Josh Lairamore
Pool Play,Division 1 Open,Pool D,1,Single game,UConn D1 vs UNC D1,UConn D1 Coed,UNC D1 Coed,UConn D1 Coed,21,11,,,,,Noah Malewicki,Sabine Lucas,Cam Obrien,Sophia Manning
Pool Play,Division 1 Women's,Pool D,1,Single game,UConn D1 vs UNC D1,UConn D1 Women's,UNC D1 Women's,UConn D1 Women's,21,10,,,,,Aisling,Samantha Wilkins,Grace Cuadill,Vanessa Convers
Pool Play,Division 1 Open,Pool D,1,Single game,UConn D1 vs Clemson,UConn D1 Open A,Clemson Open A,UConn D1 Open A,21,13,,,,,Matthew Tiongko,Sam Panek,Eric Baldwin,Shrey Parihk
Pool Play,Division 1 Open,Pool D,1,Single game,UConn D1 vs Clemson,UConn D1 Open B,Clemson Open B,UConn D1 Open B,21,14,,,,,Scotty McCabe,Vince Hackl,Danny Titherington,Kade Janikula
Pool Play,Division 1 Open,Pool D,1,Single game,UConn D1 vs Clemson,UConn D1 Open C,Clemson Open C,UConn D1 Open C,21,6,,,,,Jacob Lamontagne,Sreesai Katiki,Austin Smith,Sullivan McGillis
Pool Play,Division 1 Open,Pool D,1,Single game,UConn D1 vs Clemson,UConn D1 Coed,Clemson Coed,Clemson Coed,18,21,,,,,Noah Malewicki,Sabine Lucas,Anthony Schenk,Maddie Huffstetler
Pool Play,Division 1 Women's,Pool D,1,Single game,UConn D1 vs Clemson,UConn D1 Women's,Clemson Women's,UConn D1 Women's,21,15,,,,,Aisling,Samantha Wilkins,Rachael Notch,Summer Kowalski
Pool Play,Division 1 Open,Silver C,2,Single game,Purdue D1 vs Tufts D1,Purdue D1 Open A,Tufts D1 Open A,Purdue D1 Open A,21,10,,,,,Henry Cheung,Will,Benjamin Westphal,Jake Stoller
Pool Play,Division 1 Open,Silver C,2,Single game,Purdue D1 vs Tufts D1,Purdue D1 Open B,Tufts D1 Open B,Purdue D1 Open B,22,20,,,,,Kishore,Prathik Iyengar,Bassil Chughtai,Mark Fedio
Pool Play,Division 1 Open,Silver C,2,Single game,Purdue D1 vs Tufts D1,Purdue D1 Open C,Tufts D1 Open C,Tufts D1 Open C,17,21,,,,,Thomas Saia,Zach Miles,Freddy Kniker,Nathaniel Page
Pool Play,Division 1 Open,Silver C,2,Single game,Purdue D1 vs Tufts D1,Purdue D1 Coed,Tufts D1 Coed,Tufts D1 Coed,19,21,,,,,Josh Eliott,Megan Cereno,Dylan Block,Dylan Duda
Pool Play,Division 1 Women's,Silver C,2,Single game,Purdue D1 vs Tufts D1,Purdue D1 Women's,Tufts D1 Women's,Tufts D1 Women's,14,21,,,,,Anna Grube,Han Burgess,Abigail Bayog,Adele Beamer
Pool Play,Division 1 Open,Silver C,2,Single game,Tufts D1 vs Clemson,Tufts D1 Open A,Clemson Open A,Clemson Open A,13,21,,,,,Benjamin Westphal,Jake Stoller,Eric Baldwin,Shrey Parihk
Pool Play,Division 1 Open,Silver C,2,Single game,Tufts D1 vs Clemson,Tufts D1 Open B,Clemson Open B,Clemson Open B,16,21,,,,,Bassil Chughtai,Mark Fedio,Danny Titherington,Kade Janikula
Pool Play,Division 1 Open,Silver C,2,Single game,Tufts D1 vs Clemson,Tufts D1 Open C,Clemson Open C,Clemson Open C,18,21,,,,,Freddy Kniker,Nathaniel Page,Austin Smith,Sullivan McGillis
Pool Play,Division 1 Open,Silver C,2,Single game,Tufts D1 vs Clemson,Tufts D1 Coed,Clemson Coed,Clemson Coed,7,21,,,,,Dylan Block,Dylan Duda,Anthony Schenk,Maddie Huffstetler
Pool Play,Division 1 Women's,Silver C,2,Single game,Tufts D1 vs Clemson,Tufts D1 Women's,Clemson Women's,Tufts D1 Women's,21,17,,,,,Abigail Bayog,Adele Beamer,Rachael Notch,Summer Kowalski
Pool Play,Division 1 Open,Silver C,2,Single game,Siena/RPI D1 vs UNC D1,Siena/RPI D1 Open A,UNC D1 Open A,Siena/RPI D1 Open A,21,11,,,,,Joshua Aguilar,Noah Lerner-Morelle,Bryce von Haefen,Thayer Hicks
Pool Play,Division 1 Open,Silver C,2,Single game,Siena/RPI D1 vs UNC D1,Siena/RPI D1 Open B,UNC D1 Open B,UNC D1 Open B,12,21,,,,,Daniel Krupp,Michael Vilardo,Evan Eberle,Mason Dancausse
Pool Play,Division 1 Open,Silver C,2,Single game,Siena/RPI D1 vs UNC D1,Siena/RPI D1 Open C,UNC D1 Open C,UNC D1 Open C,14,21,,,,,Andrew Higginbotham,Matthew Brady,Hugh Telke,Josh Lairamore
Pool Play,Division 1 Open,Silver C,2,Single game,Siena/RPI D1 vs UNC D1,Siena/RPI D1 Coed,UNC D1 Coed,UNC D1 Coed,20,22,,,,,Cole Bombard,Megan Dwire,Cam Obrien,Sophia Manning
Pool Play,Division 1 Women's,Silver C,2,Single game,Siena/RPI D1 vs UNC D1,Siena/RPI D1 Women's,UNC D1 Women's,Siena/RPI D1 Women's,21,10,,,,,Emily Stewart,Kelsey Higgins,Grace Cuadill,Vanessa Convers
Pool Play,Division 1 Open,Silver C,2,Single game,Tufts D1 vs UNC D1,Tufts D1 Open A,UNC D1 Open A,Tufts D1 Open A,21,13,,,,,Benjamin Westphal,Jake Stoller,Bryce von Haefen,Thayer Hicks
Pool Play,Division 1 Open,Silver C,2,Single game,Tufts D1 vs UNC D1,Tufts D1 Open B,UNC D1 Open B,UNC D1 Open B,18,21,,,,,Bassil Chughtai,Mark Fedio,Evan Eberle,Mason Dancausse
Pool Play,Division 1 Open,Silver C,2,Single game,Tufts D1 vs UNC D1,Tufts D1 Open C,UNC D1 Open C,UNC D1 Open C,8,21,,,,,Freddy Kniker,Nathaniel Page,Hugh Telke,Josh Lairamore
Pool Play,Division 1 Open,Silver C,2,Single game,Tufts D1 vs UNC D1,Tufts D1 Coed,UNC D1 Coed,UNC D1 Coed,5,21,,,,,Dylan Block,Dylan Duda,Cam Obrien,Sophia Manning
Pool Play,Division 1 Women's,Silver C,2,Single game,Tufts D1 vs UNC D1,Tufts D1 Women's,UNC D1 Women's,UNC D1 Women's,17,21,,,,,Abigail Bayog,Adele Beamer,Grace Cuadill,Vanessa Convers
Pool Play,Division 1 Open,Silver C,2,Single game,Siena/RPI D1 vs Tufts D1,Siena/RPI D1 Open A,Tufts D1 Open A,Siena/RPI D1 Open A,21,9,,,,,Joshua Aguilar,Noah Lerner-Morelle,Benjamin Westphal,Jake Stoller
Pool Play,Division 1 Open,Silver C,2,Single game,Siena/RPI D1 vs Tufts D1,Siena/RPI D1 Open B,Tufts D1 Open B,Tufts D1 Open B,13,21,,,,,Daniel Krupp,Michael Vilardo,Bassil Chughtai,Mark Fedio
Pool Play,Division 1 Open,Silver C,2,Single game,Siena/RPI D1 vs Tufts D1,Siena/RPI D1 Open C,Tufts D1 Open C,Siena/RPI D1 Open C,21,18,,,,,Andrew Higginbotham,Matthew Brady,Freddy Kniker,Nathaniel Page
Pool Play,Division 1 Open,Silver C,2,Single game,Siena/RPI D1 vs Tufts D1,Siena/RPI D1 Coed,Tufts D1 Coed,Siena/RPI D1 Coed,21,15,,,,,Cole Bombard,Megan Dwire,Dylan Block,Dylan Duda
Pool Play,Division 1 Women's,Silver C,2,Single game,Siena/RPI D1 vs Tufts D1,Siena/RPI D1 Women's,Tufts D1 Women's,Siena/RPI D1 Women's,22,20,,,,,Emily Stewart,Kelsey Higgins,Abigail Bayog,Adele Beamer
Pool Play,Division 1 Open,Silver C,2,Single game,Purdue D1 vs Clemson,Purdue D1 Open A,Clemson Open A,Clemson Open A,10,21,,,,,Henry Cheung,Will,Eric Baldwin,Shrey Parihk
Pool Play,Division 1 Open,Silver C,2,Single game,Purdue D1 vs Clemson,Purdue D1 Open B,Clemson Open B,Clemson Open B,15,21,,,,,Kishore,Prathik Iyengar,Danny Titherington,Kade Janikula
Pool Play,Division 1 Open,Silver C,2,Single game,Purdue D1 vs Clemson,Purdue D1 Open C,Clemson Open C,Purdue D1 Open C,23,21,,,,,Thomas Saia,Zach Miles,Austin Smith,Sullivan McGillis
Pool Play,Division 1 Open,Silver C,2,Single game,Purdue D1 vs Clemson,Purdue D1 Coed,Clemson Coed,Clemson Coed,4,21,,,,,Josh Eliott,Megan Cereno,Anthony Schenk,Maddie Huffstetler
Pool Play,Division 1 Women's,Silver C,2,Single game,Purdue D1 vs Clemson,Purdue D1 Women's,Clemson Women's,Purdue D1 Women's,21,18,,,,,Anna Grube,Han Burgess,Rachael Notch,Summer Kowalski
Pool Play,Division 1 Open,Silver C,2,Single game,UNC D1 vs Clemson,UNC D1 Open A,Clemson Open A,Clemson Open A,16,21,,,,,Bryce von Haefen,Thayer Hicks,Eric Baldwin,Shrey Parihk
Pool Play,Division 1 Open,Silver C,2,Single game,UNC D1 vs Clemson,UNC D1 Open B,Clemson Open B,Clemson Open B,14,21,,,,,Evan Eberle,Mason Dancausse,Danny Titherington,Kade Janikula
Pool Play,Division 1 Open,Silver C,2,Single game,UNC D1 vs Clemson,UNC D1 Open C,Clemson Open C,UNC D1 Open C,21,13,,,,,Hugh Telke,Josh Lairamore,Austin Smith,Sullivan McGillis
Pool Play,Division 1 Open,Silver C,2,Single game,UNC D1 vs Clemson,UNC D1 Coed,Clemson Coed,Clemson Coed,16,21,,,,,Cam Obrien,Sophia Manning,Anthony Schenk,Maddie Huffstetler
Pool Play,Division 1 Women's,Silver C,2,Single game,UNC D1 vs Clemson,UNC D1 Women's,Clemson Women's,UNC D1 Women's,21,17,,,,,Grace Cuadill,Vanessa Convers,Rachael Notch,Summer Kowalski
Pool Play,Division 1 Open,Silver C,2,Single game,Siena/RPI D1 vs Clemson,Siena/RPI D1 Open A,Clemson Open A,Siena/RPI D1 Open A,21,16,,,,,Joshua Aguilar,Noah Lerner-Morelle,Eric Baldwin,Shrey Parihk
Pool Play,Division 1 Open,Silver C,2,Single game,Siena/RPI D1 vs Clemson,Siena/RPI D1 Open B,Clemson Open B,Clemson Open B,8,21,,,,,Daniel Krupp,Michael Vilardo,Danny Titherington,Kade Janikula
Pool Play,Division 1 Open,Silver C,2,Single game,Siena/RPI D1 vs Clemson,Siena/RPI D1 Open C,Clemson Open C,Clemson Open C,18,21,,,,,Andrew Higginbotham,Matthew Brady,Austin Smith,Sullivan McGillis
Pool Play,Division 1 Open,Silver C,2,Single game,Siena/RPI D1 vs Clemson,Siena/RPI D1 Coed,Clemson Coed,Clemson Coed,12,21,,,,,Cole Bombard,Megan Dwire,Anthony Schenk,Maddie Huffstetler
Pool Play,Division 1 Women's,Silver C,2,Single game,Siena/RPI D1 vs Clemson,Siena/RPI D1 Women's,Clemson Women's,Siena/RPI D1 Women's,21,16,,,,,Emily Stewart,Kelsey Higgins,Rachael Notch,Summer Kowalski
Pool Play,Division 1 Open,Silver C,2,Single game,Purdue D1 vs UNC D1,Purdue D1 Open A,UNC D1 Open A,Purdue D1 Open A,21,3,,,,,Henry Cheung,Will,Bryce von Haefen,Thayer Hicks
Pool Play,Division 1 Open,Silver C,2,Single game,Purdue D1 vs UNC D1,Purdue D1 Open B,UNC D1 Open B,UNC D1 Open B,11,21,,,,,Kishore,Prathik Iyengar,Evan Eberle,Mason Dancausse
Pool Play,Division 1 Open,Silver C,2,Single game,Purdue D1 vs UNC D1,Purdue D1 Open C,UNC D1 Open C,UNC D1 Open C,14,21,,,,,Thomas Saia,Zach Miles,Hugh Telke,Josh Lairamore
Pool Play,Division 1 Open,Silver C,2,Single game,Purdue D1 vs UNC D1,Purdue D1 Coed,UNC D1 Coed,UNC D1 Coed,10,21,,,,,Josh Eliott,Megan Cereno,Cam Obrien,Sophia Manning
Pool Play,Division 1 Women's,Silver C,2,Single game,Purdue D1 vs UNC D1,Purdue D1 Women's,UNC D1 Women's,Purdue D1 Women's,21,13,,,,,Anna Grube,Han Burgess,Grace Cuadill,Vanessa Convers
Pool Play,Division 1 Open,Silver C,2,Single game,Purdue D1 vs Siena/RPI D1,Purdue D1 Open A,Siena/RPI D1 Open A,Siena/RPI D1 Open A,13,21,,,,,Henry Cheung,Will,Joshua Aguilar,Noah Lerner-Morelle
Pool Play,Division 1 Open,Silver C,2,Single game,Purdue D1 vs Siena/RPI D1,Purdue D1 Open B,Siena/RPI D1 Open B,Purdue D1 Open B,21,17,,,,,Kishore,Prathik Iyengar,Daniel Krupp,Michael Vilardo
Pool Play,Division 1 Open,Silver C,2,Single game,Purdue D1 vs Siena/RPI D1,Purdue D1 Open C,Siena/RPI D1 Open C,Siena/RPI D1 Open C,19,21,,,,,Thomas Saia,Zach Miles,Andrew Higginbotham,Matthew Brady
Pool Play,Division 1 Open,Silver C,2,Single game,Purdue D1 vs Siena/RPI D1,Purdue D1 Coed,Siena/RPI D1 Coed,Siena/RPI D1 Coed,15,21,,,,,Josh Eliott,Megan Cereno,Cole Bombard,Megan Dwire
Pool Play,Division 1 Women's,Silver C,2,Single game,Purdue D1 vs Siena/RPI D1,Purdue D1 Women's,Siena/RPI D1 Women's,Siena/RPI D1 Women's,18,21,,,,,Anna Grube,Han Burgess,Emily Stewart,Kelsey Higgins
Pool Play,Division 1 Open,Silver D,2,Single game,UNC Wilmington D1 vs KSU D1,UNC Wilmington D1 Open A,KSU D1 Open A,UNC Wilmington D1 Open A,24,22,,,,,Jake Dooley,Noah Kopetic,Connar Kloehn,Parker McKinney
Pool Play,Division 1 Open,Silver D,2,Single game,UNC Wilmington D1 vs KSU D1,UNC Wilmington D1 Open B,KSU D1 Open B,UNC Wilmington D1 Open B,21,5,,,,,Polk Denmark,Sam Weber,Jake Kelley,Parker Smith
Pool Play,Division 1 Open,Silver D,2,Single game,UNC Wilmington D1 vs KSU D1,UNC Wilmington D1 Open C,KSU D1 Open C,UNC Wilmington D1 Open C,21,18,,,,,Michael Creedon,Zack Glew,Collin Ireland,Lane Morris
Pool Play,Division 1 Open,Silver D,2,Single game,UNC Wilmington D1 vs KSU D1,UNC Wilmington D1 Coed,KSU D1 Coed,KSU D1 Coed,2,21,,,,,Claire Schnee,Jason Lyons,Austin Niles,Leah Freeman
Pool Play,Division 1 Women's,Silver D,2,Single game,UNC Wilmington D1 vs KSU D1,UNC Wilmington D1 Women's,KSU D1 Women's,KSU D1 Women's,17,21,,,,,Julie Gibbs,Tristen Rogers,Ava Holtz,Ellie Bennett
Pool Play,Division 1 Open,Silver D,2,Single game,UNC Wilmington D1 vs UB D1,UNC Wilmington D1 Open A,UB D1 Open A,UNC Wilmington D1 Open A,22,20,,,,,Jake Dooley,Noah Kopetic,Evan Leatherbarrow,George Reagan
Pool Play,Division 1 Open,Silver D,2,Single game,UNC Wilmington D1 vs UB D1,UNC Wilmington D1 Open B,UB D1 Open B,UNC Wilmington D1 Open B,21,13,,,,,Polk Denmark,Sam Weber,Alden Nash,Camillo Cruz
Pool Play,Division 1 Open,Silver D,2,Single game,UNC Wilmington D1 vs UB D1,UNC Wilmington D1 Open C,UB D1 Open C,UNC Wilmington D1 Open C,21,15,,,,,Michael Creedon,Zack Glew,Izak Krajeski,Mason Hansen
Pool Play,Division 1 Open,Silver D,2,Single game,UNC Wilmington D1 vs UB D1,UNC Wilmington D1 Coed,UB D1 Coed,UNC Wilmington D1 Coed,21,10,,,,,Claire Schnee,Jason Lyons,Coralys Desarden,Jamie Sullivan
Pool Play,Division 1 Women's,Silver D,2,Single game,UNC Wilmington D1 vs UB D1,UNC Wilmington D1 Women's,UB D1 Women's,UNC Wilmington D1 Women's,21,5,,,,,Julie Gibbs,Tristen Rogers,Autumn Ragonese,Caroline Dexter
Pool Play,Division 1 Open,Silver D,2,Single game,UNC Wilmington D1 vs Liberty D1,UNC Wilmington D1 Open A,Liberty D1 Open A,UNC Wilmington D1 Open A,22,20,,,,,Jake Dooley,Noah Kopetic,Ethan Davis,Jacob Summers
Pool Play,Division 1 Open,Silver D,2,Single game,UNC Wilmington D1 vs Liberty D1,UNC Wilmington D1 Open B,Liberty D1 Open B,UNC Wilmington D1 Open B,21,13,,,,,Polk Denmark,Sam Weber,Josh Puffenberger,Tim G.
Pool Play,Division 1 Open,Silver D,2,Single game,UNC Wilmington D1 vs Liberty D1,UNC Wilmington D1 Open C,Liberty D1 Open C,Liberty D1 Open C,18,21,,,,,Michael Creedon,Zack Glew,Daniel Porter,Isaac Haynes
Pool Play,Division 1 Open,Silver D,2,Single game,UNC Wilmington D1 vs Liberty D1,UNC Wilmington D1 Coed,Liberty D1 Coed,Liberty D1 Coed,13,21,,,,,Claire Schnee,Jason Lyons,JP Hoheisel,Seth Stokarski
Pool Play,Division 1 Women's,Silver D,2,Single game,UNC Wilmington D1 vs Liberty D1,UNC Wilmington D1 Women's,Liberty D1 Women's,Liberty D1 Women's,15,21,,,,,Julie Gibbs,Tristen Rogers,Becca Tussi,Jo Malone
Pool Play,Division 1 Open,Silver D,2,Single game,KSU D1 vs Liberty D1,KSU D1 Open A,Liberty D1 Open A,Liberty D1 Open A,14,21,,,,,Connar Kloehn,Parker McKinney,Ethan Davis,Jacob Summers
Pool Play,Division 1 Open,Silver D,2,Single game,KSU D1 vs Liberty D1,KSU D1 Open B,Liberty D1 Open B,Liberty D1 Open B,14,21,,,,,Jake Kelley,Parker Smith,Josh Puffenberger,Tim G.
Pool Play,Division 1 Open,Silver D,2,Single game,KSU D1 vs Liberty D1,KSU D1 Open C,Liberty D1 Open C,Liberty D1 Open C,17,21,,,,,Collin Ireland,Lane Morris,Daniel Porter,Isaac Haynes
Pool Play,Division 1 Open,Silver D,2,Single game,KSU D1 vs Liberty D1,KSU D1 Coed,Liberty D1 Coed,KSU D1 Coed,21,10,,,,,Austin Niles,Leah Freeman,JP Hoheisel,Seth Stokarski
Pool Play,Division 1 Women's,Silver D,2,Single game,KSU D1 vs Liberty D1,KSU D1 Women's,Liberty D1 Women's,Liberty D1 Women's,16,21,,,,,Ava Holtz,Ellie Bennett,Becca Tussi,Jo Malone
Pool Play,Division 1 Open,Silver D,2,Single game,NC State D1 vs Liberty D1,NC State D1 Open A,Liberty D1 Open A,NC State D1 Open A,21,18,,,,,john buchanan,nathan benjiman,Ethan Davis,Jacob Summers
