Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team A - Player 4,Team B - Player 1,Team B - Player 2,Team B - Player 3,Team B - Player 4
Group Stage,Men's Elite / Élite (masculin),Group A,5,Single game,Cuts Wide Man,Fries & Rice,Fries & Rice,18,21,,,,,Jake Lepp,Nick Wideman,,,Bram Declercq,Carlin Vicera,,
Group Stage,Men's Elite / Élite (masculin),Group B,5,Single game,Sub-Zero,CRO Weather Boosted,Sub-Zero,21,12,,,,,Gabriel Monfette,Olivier Aglot,,,Adrian Garcea,Nicholas Puopolo,,
Group Stage,Men's Elite / Élite (masculin),Group B,5,Single game,WILL you SUMERy me,Read/White Memory,Read/White Memory,18,21,,,,,Jake Lepp,sumer dass,Sumer Dass,Will Ries,Liam Read,Justin White,,
Group Stage,Men's Elite / Élite (masculin),Group C,5,Single game,Wesburn,CRO Premier and 30?!? 😱,Wesburn,25,24,,,,,Eddy Leung,Ivan Zeng,,,Tyler Babin,Chris Brown,,
Group Stage,Men's Elite / Élite (masculin),Group C,5,Single game,Prairie Oysters,;-),Prairie Oysters,21,19,,,,,Keaton Kirchner,Deryk Kirchner,,,kolton falk,Josiah  Falk,,
Group Stage,Men's Elite / Élite (masculin),Group C,5,Single game,JK Spikes,wraith and gibby,wraith and gibby,16,21,,,,,Kirby Bauman,Jaden Weber,,,Joshua Chang,Jovan Tang,,
Bracket Stage,Men's Elite / Élite (masculin),Bracket A,Round of 16,Best of 3,Swamp Donkeys,;-),Swamp Donkeys,21,14,21,18,,,Emerson Dean,Etienne Cote,,,kolton falk,Josiah  Falk,,
Bracket Stage,Men's Elite / Élite (masculin),Bracket A,Round of 16,Best of 3,Wesburn,CRO Weather Boosted,Wesburn,21,14,21,17,,,Eddy Leung,Ivan Zeng,,,Adrian Garcea,Nicholas Puopolo,,
Bracket Stage,Men's Elite / Élite (masculin),Bracket A,Round of 16,Best of 3,Sub-Zero,JK Spikes,Sub-Zero,21,12,21,11,,,Gabriel Monfette,Olivier Aglot,,,Kirby Bauman,Jaden Weber,,
Bracket Stage,Men's Elite / Élite (masculin),Bracket A,Round of 16,Best of 3,CRO Premier and 30?!? 😱,Fries & Rice,CRO Premier and 30?!? 😱,21,15,21,19,,,Tyler Babin,Chris Brown,,,Bram Declercq,Carlin Vicera,,
Bracket Stage,Men's Elite / Élite (masculin),Bracket A,Round of 16,Best of 3,Read/White Memory,Jake n Josh,Jake n Josh,19,21,21,14,19,21,Liam Read,Justin White,,,Joshua Chui,Jake Jimenez,,
Bracket Stage,Men's Elite / Élite (masculin),Bracket A,Round of 16,Best of 3,Cuts Wide Man,Fortified,Cuts Wide Man,21,14,16,21,21,17,Jake Lepp,Nick Wideman,,,Carlos Nakamura,Blake Clarke,,
Bracket Stage,Men's Elite / Élite (masculin),Bracket A,Round of 16,Best of 3,Prairie Oysters,wraith and gibby,wraith and gibby,19,21,19,21,,,Keaton Kirchner,Deryk Kirchner,,,Joshua Chang,Jovan Tang,,
Bracket Stage,Men's Elite / Élite (masculin),Bracket A,Round of 16,Best of 3,WILL you SUMERy me,Gingey,Gingey,0,1,0,1,,,Jake Lepp,sumer dass,Sumer Dass,Will Ries,Jordan Brandes,Josh Brandes,,
Bracket Stage,Men's Elite / Élite (masculin),Bracket A,Quarter-final,Best of 3,Swamp Donkeys,Gingey,Swamp Donkeys,21,15,21,13,,,Emerson Dean,Etienne Cote,,,Jordan Brandes,Josh Brandes,,
Bracket Stage,Men's Elite / Élite (masculin),Bracket A,Quarter-final,Best of 3,Wesburn,wraith and gibby,Wesburn,1,0,1,0,,,Eddy Leung,Ivan Zeng,,,Joshua Chang,Jovan Tang,,
Bracket Stage,Men's Elite / Élite (masculin),Bracket A,Quarter-final,Best of 3,Sub-Zero,Cuts Wide Man,Sub-Zero,21,18,17,21,26,24,Gabriel Monfette,Olivier Aglot,,,Jake Lepp,Nick Wideman,,
Bracket Stage,Men's Elite / Élite (masculin),Bracket A,Quarter-final,Best of 3,CRO Premier and 30?!? 😱,Jake n Josh,CRO Premier and 30?!? 😱,21,14,21,9,,,Tyler Babin,Chris Brown,,,Joshua Chui,Jake Jimenez,,
Bracket Stage,Men's Elite / Élite (masculin),Bracket A,P9: Quarter-final,Single game,WILL you SUMERy me,;-),WILL you SUMERy me,21,13,,,,,Jake Lepp,sumer dass,Sumer Dass,Will Ries,kolton falk,Josiah  Falk,,
Bracket Stage,Men's Elite / Élite (masculin),Bracket A,P9: Quarter-final,Single game,Prairie Oysters,CRO Weather Boosted,Prairie Oysters,21,15,,,,,Keaton Kirchner,Deryk Kirchner,,,Adrian Garcea,Nicholas Puopolo,,
Bracket Stage,Men's Elite / Élite (masculin),Bracket A,P9: Quarter-final,Single game,Fortified,JK Spikes,Fortified,21,17,,,,,Carlos Nakamura,Blake Clarke,,,Kirby Bauman,Jaden Weber,,
Bracket Stage,Men's Elite / Élite (masculin),Bracket A,P9: Quarter-final,Single game,Read/White Memory,Fries & Rice,Fries & Rice,14,21,,,,,Liam Read,Justin White,,,Bram Declercq,Carlin Vicera,,
Bracket Stage,Men's Elite / Élite (masculin),Bracket A,Semi-final,Best of 3,Swamp Donkeys,CRO Premier and 30?!? 😱,Swamp Donkeys,21,19,16,21,23,21,Emerson Dean,Etienne Cote,,,Tyler Babin,Chris Brown,,
Bracket Stage,Men's Elite / Élite (masculin),Bracket A,Semi-final,Best of 3,Wesburn,Sub-Zero,Wesburn,1,0,1,0,,,Eddy Leung,Ivan Zeng,,,Gabriel Monfette,Olivier Aglot,,
